,text
0,"In week 12 of the 2023 NFL season, the Minnesota Vikings hosted the Chicago Bears. The game is still in progress. The score is tied at 0."
1,"In week 12 of the 2023 NFL season, the Detroit Lions hosted the Green Bay Packers. The Green Bay Packers won the game, by a score of 29-22."
2,"In week 12 of the 2023 NFL season, the Dallas Cowboys hosted the Washington Commanders. The Dallas Cowboys won the game, by a score of 45-10."
3,"In week 12 of the 2023 NFL season, the Seattle Seahawks hosted the San Francisco 49ers. The San Francisco 49ers won the game, by a score of 31-13."
4,"In week 12 of the 2023 NFL season, the New York Jets hosted the Miami Dolphins. The Miami Dolphins won the game, by a score of 34-13."
5,"In week 12 of the 2023 NFL season, the Atlanta Falcons hosted the New Orleans Saints. The Atlanta Falcons won the game, by a score of 24-15."
6,"In week 12 of the 2023 NFL season, the Cincinnati Bengals hosted the Pittsburgh Steelers. The Pittsburgh Steelers won the game, by a score of 16-10."
7,"In week 12 of the 2023 NFL season, the Tennessee Titans hosted the Carolina Panthers. The Tennessee Titans won the game, by a score of 17-10."
8,"In week 12 of the 2023 NFL season, the Indianapolis Colts hosted the Tampa Bay Buccaneers. The Indianapolis Colts won the game, by a score of 27-20."
9,"In week 12 of the 2023 NFL season, the New York Giants hosted the New England Patriots. The New York Giants won the game, by a score of 10-7."
10,"In week 12 of the 2023 NFL season, the Houston Texans hosted the Jacksonville Jaguars. The Jacksonville Jaguars won the game, by a score of 24-21."
11,"In week 12 of the 2023 NFL season, the Denver Broncos hosted the Cleveland Browns. The Denver Broncos won the game, by a score of 29-12."
12,"In week 12 of the 2023 NFL season, the Arizona Cardinals hosted the Los Angeles Rams. The Los Angeles Rams won the game, by a score of 37-14."
13,"In week 12 of the 2023 NFL season, the Las Vegas Raiders hosted the Kansas City Chiefs. The Kansas City Chiefs won the game, by a score of 31-17."
14,"In week 12 of the 2023 NFL season, the Philadelphia Eagles hosted the Buffalo Bills. The Philadelphia Eagles won the game, by a score of 37-34."
15,"In week 12 of the 2023 NFL season, the Los Angeles Chargers hosted the Baltimore Ravens. The Baltimore Ravens won the game, by a score of 20-10."
